#,"Country,
Other","Total
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
51,Jordan,,,0,1731007,1868,59,169597,1371,17201885,1669945,10300869
52,Ireland,,,0,1648405,7343,13,331392,1575,12708583,2531490,5020199
53,Pakistan,,,3,1536924,5058,47,6853,133,30477451,132806,229488994
54,Norway,,,0,1457108,1112,20,265327,744,11002430,1996315,5511370
55,Kazakhstan,,,0,1378440,1338,24,72557,713,11575012,602707,19205043
56,Finland,,,0,1263711,23248,21,232754,1077,11505032,2071128,5554960
57,Morocco,,,0,1248543,114,293,33488,431,12577650,332982,37772756
58,Bulgaria,,,0,1211397,9559,43,183892,5510,10559171,1542702,6844597
59,Lithuania,,,0,1216151,23663,12,469298,3502,10174473,3822535,2661708
60,Croatia,,,0,1209524,5149,10,303397,4164,5225875,1287388,4059286
61,Lebanon,,,0,1087587,117250,74,181831,1597,4795578,717380,6684849
62,Slovenia,,,0,1145051,29202,22,568361,3282,2743244,1320115,2078034
63,Tunisia,,,0,225011.0,1246.0,99,95104,2428,4948208,410754,12046656
64,Guatemala,,,0,1102988,688,5,60453,1065,5884813,316660,18584039
65,Cuba,,,0,1102548,101,23,98285,754,14149157,1251512,11305652
66,Bolivia,,,0,1051789,34172,220,92406,1854,2705422,225590,11992656
67,Costa Rica,,,0,860711,203183,52,207012,1720,4659757,899158,5182354
68,Uae,,,0,1006369,18317,0,101870,233,190586733,18904066,10081785
69,Ecuador,,,0,964320,3564,759,55416,1982,3082403,170173,18113361
70,Nepal,,,0,986617,1077,0,33075,398,5936702,196413,30225582
71,Belarus,,,0,985592,1327,0,105381,755,13646641,1446722,9432800
72,Panama,,,0,976873,1496,16,221919,1911,7062027,1588056,4446964
73,Uruguay,,,0,976760,1177,18,281870,2141,6114822,1749083,3496016
74,Mongolia,,,0,979439,1246,192,290954,645,4030048,1193000,3378078
75,Latvia,,,0,891237,31824,5,502506,3240,7650009,4137741,1848837
76,Azerbaijan,,,0,810181,1071,0,79723,962,7245111,703395,10300205
77,Saudi Arabia,,,0,803546,3492,32,22776,261,44321147,1236470,35844909
78,Paraguay,,,0,696110,366,7,98012,2680,2657506,363751,7305843
79,Bahrain,,,0,675724,3027,2,381321,852,10376306,5816370,1783983
80,Sri Lanka,,,0,653779,223,0,31089,777,6486117,300619,21575842
81,Kuwait,,,0,655316,641,3,150336,585,8365279,1909739,4380326
82,Dominican Republic,,,0,638911,721,4,58248,397,3657057,330765,11056370
83,Myanmar,,,0,597898,5446,0,11277,352,9056450,163985,55227143
84,Palestine,,,0,608749,6396,17,116087,1011,3078533,575907,5345541
85,Estonia,,,0,524990,74198,4,455303,2028,3536858,2675566,1321910
86,Moldova,,,0,504142,73402,49,146863,2951,3216305,801437,4013171
87,Cyprus,,,0,578452,5681,60,478437,965,9640118,7879860,1223387
88,Venezuela,,,0,538033,840,36,18611,199,3359014,114771,29266991
89,Egypt,,,0,442182,48850,122,4857,232,3693367,34792,106156692
90,Libya,,,0,500507,47,101,72008,914,2481983,352517,7040745
91,Ethiopia,,,0,471918,14073,1,4085,63,5258807,43529,120812698
92,Réunion,,893,0,418572,52871,10,520159,983,1603660,1766027,908061
93,Honduras,,,0,225011.0,1246.0,105,44651,1076,1528531,149544,10221247
94,Qatar,,682,0,443418,6348,4,151161,229,3951470,1326034,2979915
95,Armenia,,,0,430192,4000,0,149018,2922,3210961,1080416,2971966
96,Bosnia And Herzegovina,,,0,376654,5878,0,122693,4966,1861041,572748,3249317
97,Oman,,,0,384669,9064,2,74755,800,25000000,4695724,5323993
98,North Macedonia,,,0,332806,435,0,164692,4581,2130257,1023520,2081304
99,Kenya,,,0,332663,79,1,6020,101,3881967,69055,56215221
100,Zambia,,,0,329375,139,0,17130,206,3731374,191645,19470234
101,Albania,,,0,326729,1856,0,115886,1252,1941032,677173,2866374
102,Botswana,,,0,322955,564,1,133669,1142,2026898,830300,2441162
103,Luxembourg,,,0,283668,3867,0,449363,1748,4402293,6853194,642371
104,Montenegro,,,0,276154,1067,6,445899,4429,2624193,4178984,627950
105,Algeria,,,0,182306,81483,6,5968,152,230861,5091,45350148
106,Nigeria,,,0,258381,3846,11,1224,15,5441162,25104,216746934
107,Zimbabwe,,,0,251281,526,12,16790,365,2511501,163814,15331428
108,China,,,0,242254,2969,36,173,4,160000000,110461,1448471400
109,Uzbekistan,,,0,241486,1076,23,7103,48,1377915,40077,34382084
110,Mozambique,,,0,227882,116,11,6957,67,1371127,41437,33089461
111,Brunei,,225,0,222140,3872,3,507906,505,717784,1611437,445431
112,Martinique,,,0,225011.0,1246.0,8,592424,2791,828928,2215870,374087
113,Laos,,758,0,225011.0,1246.0,0,28852,101,1233207,164845,7481023
114,Kyrgyzstan,,,0,196406,6686,131,30629,445,1907195,283460,6728271
115,Iceland,,213,0,225011.0,1246.0,2,595371,617,1996384,5780036,345393
116,El Salvador,,,0,179410,18146,8,30805,646,2610114,398467,6550389
117,Afghanistan,,,0,177850,13418,1124,4885,191,1103716,27082,40754388
118,Guadeloupe,,989,0,225011.0,1246.0,19,482251,2474,938039,2346306,399794
119,Maldives,,308,0,163687,21047,25,342046,569,2213831,4092223,540985
120,Trinidad And Tobago,,,0,174214,4188,18,129816,2982,834508,593287,1406585
121,Uganda,,,0,100431,65337,3,3498,75,3012408,62198,48432863
122,Namibia,,,0,164813,375,0,64260,1543,1062663,403460,2633874
123,Ghana,,,0,167307,334,2,5220,45,2504017,77295,32395450
124,Jamaica,,,0,99239,49273,0,50862,1111,1183986,396633,2985094
125,Cambodia,,,0,134745,69,0,8030,178,3069567,178789,17168639
126,Rwanda,,,0,130955,77,0,9742,108,5816624,427678,13600464
127,Cameroon,,,0,118616,1101,13,4358,69,1751774,62762,27911548
128,Malta,,806,0,113195,651,4,258206,1815,2060900,4641322,444033
129,Angola,,,0,101155,59,0,2944,55,1499795,42818,35027343
130,Barbados,,559,0,101760,227,0,356034,1941,765378,2657350,288023
131,French Guiana,,410,0,11254,82310,3,299119,1305,651257,2072951,314169
132,Drc,,,0,83504,7906,0,975,15,846704,8890,95240792
133,Channel Islands,,202,0,90639,720,0,518868,1145,1252808,7099551,176463
134,Senegal,,,0,86297,108,0,5006,111,1146543,64946,17653671
135,Malawi,,,0,84872,470,67,4362,133,616772,30562,20180839
136,Ivory Coast,,826,0,86338,44,0,3144,30,1628106,58687,27742298
137,Suriname,,,0,225011.0,1246.0,0,135894,2321,239178,400747,596831
138,French Polynesia,,649,0,225011.0,1246.0,7,269559,2284,,,284164
139,New Caledonia,,314,0,73823,15,9,254892,1079,98964,340182,290915
140,Eswatini,,,0,71955,13,11,61942,1200,1045903,882755,1184817
141,Guyana,,,0,69977,78,0,89839,1613,695695,876141,794045
142,Belize,,683,0,68079,64,6,166976,1657,576016,1397453,412190
143,Fiji,,878,0,66302,1062,0,75035,965,662620,728581,909466
144,Madagascar,,,0,65242,24,0,2285,48,512993,17581,29178077
145,Sudan,,,0,57290,1034,0,1376,108,562941,12240,45992020
146,Mauritania,,995,0,61789,28,0,12814,203,970892,198061,4901981
147,Cabo Verde,,410,0,61890,71,23,109870,722,401622,707482,567678
148,Bhutan,,21,0,61564,145,0,78343,27,2303734,2923739,787941
149,Syria,,,0,54078,58,0,2959,163,146269,7553,19364809
150,Burundi,,38,0,49559,532,0,3971,3,345742,27386,12624840
151,Gabon,,306,0,48292,93,0,20884,131,1616256,693216,2331533
152,Seychelles,,169,0,46446,526,0,474132,1700,,,99426
153,Andorra,,155,0,46011,61,14,596762,2001,249838,3225256,77463
154,Curaçao,,282,0,44720,125,3,272623,1704,496693,3000640,165529
155,Papua New Guinea,,668,0,43982,347,7,4842,72,249149,26813,9292169
156,Aruba,,227,0,42438,249,2,398796,2109,177885,1653068,107609
157,Mauritius,,,0,38786,651,0,31741,803,358675,281374,1274727
158,Mayotte,,187,0,225011.0,1246.0,0,140582,653,176919,618038,286259
159,Tanzania,,845,0,225011.0,1246.0,7,623,13,,,63298550
160,Togo,,285,0,38528,221,0,4497,33,791865,91220,8680837
161,Isle Of Man,,116,0,225011.0,1246.0,0,443335,1353,150753,1758422,85732
162,Guinea,,449,0,36880,323,8,2715,32,660107,47607,13865691
163,Bahamas,,833,0,36070,364,2,93047,2080,248846,621314,400516
164,Faeroe Islands,,28,0,225011.0,1246.0,5,703959,569,778000,15802409,49233
165,Lesotho,,706,0,25980,7804,0,15852,324,431221,198199,2175699
166,Haiti,,857,0,31307,1569,0,2888,73,132422,11337,11680283
167,Mali,,742,0,31591,292,0,1519,35,759178,35354,21473764
168,Cayman Islands,,32,0,8553,22076,1,455743,476,222773,3311280,67277
169,Saint Lucia,,391,0,28475,542,0,158865,2112,210354,1136355,185113
170,Benin,,163,0,27322,153,5,2162,13,604310,47268,12784726
171,Somalia,,,0,13182,12680,0,1616,80,400466,23778,16841795
172,Congo,,386,0,24006,445,0,4284,67,347815,59991,5797805
173,Timor-Leste,,138,0,23102,13,0,16980,101,278529,203391,1369429
174,Burkina Faso,,387,0,21143,101,0,979,18,248995,11265,22102838
175,Solomon Islands,,153,0,16357,5034,1,29874,212,5117,7096,721159
176,San Marino,,118,0,20524,121,4,609154,3462,157634,4624732,34085
177,Gibraltar,,108,0,16579,3405,0,596131,3204,534283,15852213,33704
178,Liechtenstein,,86,0,19403,224,2,513533,2240,102174,2661682,38387
179,Grenada,,237,0,19248,51,4,172161,2089,179808,1584560,113475
180,Nicaragua,,225,0,4225,14041,0,2728,33,,,6779100
181,Bermuda,,148,0,17969,37,0,293095,2389,1006083,16243126,61939
182,South Sudan,,138,0,17335,350,1,1534,12,410280,35313,11618511
183,Tajikistan,,125,0,17264,397,0,1786,13,,,9957464
184,Equatorial Guinea,,183,0,16690,139,5,11367,122,365697,244342,1496662
185,Tonga,,12,0,15638,532,0,150182,111,535009,4965327,107749
186,Samoa,,29,0,1605,14291,4,78743,143,187397,926612,202239
187,Dominica,,74,0,15651,22,0,217668,1023,228799,3162653,72344
188,Djibouti,,189,0,15427,74,0,15441,186,305941,301094,1016097
189,Marshall Islands,,17,0,15166,92,22,254342,283,,,60057
190,Car,,113,0,14520,280,2,2973,23,81294,16205,5016678
191,Monaco,,63,0,14478,67,4,367192,1584,78646,1976875,39783
192,Gambia,,372,0,12028,108,0,4889,145,155686,60851,2558482
193,Saint Martin,,63,0,1399,10516,7,301485,1586,112382,2828643,39730
194,Greenland,,21,0,2761,9189,4,210117,369,164926,2894810,56973
195,Yemen,,,0,9124,654,23,383,69,329592,10579,31154867
196,Vanuatu,,14,0,11894,22,0,37069,44,24976,77606,321832
197,Caribbean Netherlands,,36,0,10476,723,0,421623,1351,30126,1130559,26647
198,Sint Maarten,,87,0,10773,3,10,247077,1979,62056,1411454,43966
199,Eritrea,,103,0,10063,3,0,2777,28,23693,6470,3662244
200,Niger,,312,0,8890,729,1,381,12,254538,9759,26083660
201,Micronesia,,29,0,157,9573,1,83063,247,21923,186596,117489
202,Antigua And Barbuda,,146,0,8923,29,1,91429,1467,18901,189943,99509
203,Guinea-Bissau,,175,0,8301,320,6,4263,85,145231,70385,2063367
204,Comoros,,161,0,8305,5,0,9335,177,,,907419
205,Liberia,,294,0,7636,31,2,1501,55,139824,26356,5305117
206,Sierra Leone,,126,0,225011.0,1246.0,0,933,15,259958,31296,8306436
207,Chad,,193,0,4874,2516,0,435,11,191341,10988,17413580
208,British Virgin Islands,,64,0,225011.0,1246.0,0,238757,2092,107339,3508269,30596
209,St. Vincent Grenadines,,115,0,6641,356,0,63756,1031,100856,904125,111551
210,Saint Kitts And Nevis,,46,0,6482,13,0,121420,854,124861,2317778,53871
211,Cook Islands,,1,0,6384,4,0,363610,57,19690,1120596,17571
212,Turks And Caicos,,36,0,6321,23,4,160539,906,550093,13841952,39741
213,Sao Tome And Principe,,77,0,6132,21,0,27363,338,29036,127530,227679
214,Palau,,6,0,5444,10,1,299457,329,64681,3547469,18233
215,St. Barth,,6,0,225011.0,1246.0,0,531423,603,78646,7908095,9945
216,Nauru,,1,0,4605,5,0,422911,92,20509,1881042,10903
217,Anguilla,,12,0,3848,5,4,253775,788,51382,3373736,15230
218,Kiribati,,13,0,2703,714,3,27792,105,,,123419
219,Saint Pierre Miquelon,,1,0,2449,738,1,553568,174,24902,4324015,5759
220,Falkland Islands,,,0,1886,0,0,532919,,8632,2439107,3539
221,Montserrat,,8,0,1353,35,0,281168,1611,17579,3540584,4965
222,Saint Helena,,,0,2,1353,0,221586,,,,6115
223,Macao,793,6,0,787,0,0,1188,9,7850,11760,667490
224,Wallis And Futuna,761,7,0,438,316,0,69295,637,20508,1867419,10982
225,Diamond Princess,712,13,0,699,0,0,,,,,
226,Niue,80,,0,80,0,0,49322,,,,1622
227,Vatican City,29,,0,29,0,0,36295,,,,799
228,Tuvalu,20,,0,225011.0,20,0,1658,,,,12066
229,Western Sahara,10,1,0,9,0,0,16,2,,,626161
230,Ms Zaandam,9,2,0,7,0,0,,,,,
